   Compiling fux-xtask v0.1.0 (/Users/kisaczka/Desktop/code/fux/tools/xtask)
    Finished `dev` profile [unoptimized + debuginfo] target(s) in 0.99s
     Running `target/rust-harness/debug/fux-xtask verify-boundaries --koh /tmp/strict-fux-koh-zor/koh-dev`
PASS fux/default/x86_64-unknown-linux-gnu: 130 production packages
PASS fux/default/aarch64-apple-darwin: 129 production packages
PASS fux/default/aarch64-linux-android: 130 production packages
PASS zor/default/x86_64-unknown-linux-gnu: 56 production packages
PASS zor/default/aarch64-apple-darwin: 56 production packages
PASS zor/default/aarch64-linux-android: 56 production packages
PASS zor/cli/x86_64-unknown-linux-gnu: 56 production packages
PASS zor/cli/aarch64-apple-darwin: 56 production packages
PASS zor/cli/aarch64-linux-android: 56 production packages
PASS zor/protocol/x86_64-unknown-linux-gnu: 1 production packages
PASS zor/protocol/aarch64-apple-darwin: 1 production packages
PASS zor/protocol/aarch64-linux-android: 1 production packages
PASS zor/wrap/x86_64-unknown-linux-gnu: 68 production packages
PASS zor/wrap/aarch64-apple-darwin: 68 production packages
PASS zor/wrap/aarch64-linux-android: 68 production packages
PASS koh/gateway-library/x86_64-unknown-linux-gnu: 294 production packages
PASS koh/gateway-library/aarch64-apple-darwin: 304 production packages
PASS koh/gateway-library/aarch64-linux-android: 303 production packages
PASS koh/gateway-cli/x86_64-unknown-linux-gnu: 307 production packages
PASS koh/gateway-cli/aarch64-apple-darwin: 317 production packages
PASS koh/gateway-cli/aarch64-linux-android: 316 production packages
PASS koh/default-shell/x86_64-unknown-linux-gnu: 318 production packages
PASS koh/default-shell/aarch64-apple-darwin: 327 production packages
PASS koh/default-shell/aarch64-linux-android: 327 production packages
